STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202301,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202302,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202303,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202304,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202305,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202306,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202307,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202308,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202309,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202310,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202311,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202312,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202401,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202402,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202403,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202404,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202405,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202406,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202407,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202408,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202409,3.5
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202410,3.25
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202411,3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0101000,한국은행 기준금리,,,,,,,연%,,202412,3
